GeneID,Sample-SRR2073144,Sample-SRR2073145
AT1G10740,307,195
AT1G10745,0,0
AT1G10747,9,0
AT1G10750,198,145
AT1G10760,1584,403
AT1G10770,1,0
AT1G10780,624,291
AT1G10790,5,0
AT1G10800,8,0
AT1G10810,11,4
AT1G10820,269,87
AT1G10830,147,55
AT1G10840,3576,1647
AT1G10850,1603,593
AT1G10865,199,155
AT1G10870,363,45
AT1G10880,0,1
AT1G10890,156,2
AT1G10900,281,77
AT1G10910,218,100
AT1G10920,63,0
AT1G10930,734,226
AT1G10940,825,242
AT1G10950,4043,1178
AT1G10960,1162,955
AT1G10970,141,74
AT1G10980,203,169
AT1G10990,151,71
AT1G11000,95,18
AT1G11010,0,0
AT1G11020,328,294
AT1G11030,0,0
AT1G11040,0,0
AT1G11050,73,90
AT1G11055,4,2
AT1G11060,417,120
AT1G11070,29,1
AT1G11080,439,70
AT1G11090,290,352
AT1G11100,48,11
AT1G11110,0,0
AT1G11112,76,102
AT1G11120,261,177
AT1G11125,392,248
AT1G11130,1746,462
AT1G11145,0,0
AT1G11150,28,3
AT1G11160,369,200
AT1G11170,116,0
AT1G11175,114,113
AT1G11180,143,63
AT1G11185,5,10
AT1G11190,29,22
AT1G11200,630,564
AT1G11210,124,95
AT1G11220,244,183
AT1G11230,0,0
AT1G11240,1025,535
AT1G11250,0,0
AT1G11260,1137,606
AT1G11265,2,0
AT1G11270,49,116
AT1G11280,570,155
AT1G11290,199,110
AT1G11300,158,28
AT1G11310,761,336
AT1G11320,100,58
AT1G11330,160,116
AT1G11340,0,0
AT1G11350,46,2
AT1G11360,804,332
AT1G11362,5,0
AT1G11370,0,0
AT1G11380,220,88
AT1G11390,353,63
AT1G11400,499,242
AT1G11410,21,0
AT1G11420,579,308
AT1G11430,984,926
AT1G11440,130,126
AT1G11450,12,42
AT1G11460,11,6
AT1G11470,0,0
AT1G11475,1832,2444
AT1G11480,1483,411
AT1G11482,0,0
AT1G11490,0,0
AT1G11500,3,0
AT1G11510,0,0
AT1G11520,0,0
AT1G11530,55,82
AT1G11540,1,0
AT1G11545,83,113
AT1G11550,0,0
AT1G11560,0,0
AT1G11570,11,28
AT1G11572,0,0
AT1G11580,310,363
AT1G11590,4,1
AT1G11592,124,69
AT1G11593,1,0
AT1G11595,0,0
AT1G11600,1832,1160
AT1G11608,0,0
AT1G11610,0,0
AT1G11620,0,0
AT1G11630,267,315
AT1G11640,0,0
AT1G11650,3040,2080
AT1G11655,0,0
AT1G11660,772,268
AT1G11670,93,78
AT1G11680,2233,1693
